kernel_id,kernel,size,gflops_best,gflops_median,cublas_gflops_best,pct_of_cublas
9,tensorcore,1024,6574.79,6452.78,8811.56,74.93
9,tensorcore,2048,7420.26,7390.84,9284.57,79.89
9,tensorcore,4096,8299.39,8290.16,10544.25,78.74
10,mma,1024,7108.99,6990.51,8848.74,80.34
10,mma,2048,8172.05,8140.33,9305.17,87.87
10,mma,4096,9191.74,9163.50,10538.45,87.36
